Value Iteration,652,285,79,7,9,11,9,7,10,12,8,11,8,8,7,7,9,7,8,7,8,9,10,8,11,11,7,8,7,9,8,7,7,22,11,8,10,9,8,16,9,10,10,7,7,7,15,11,8,7,8,10,9,8,8,13,9,8,10,7,8,11,10,7,9,8,10,8,12,7,8,9,12,8,7,15,9,7,13,15,10,9,7,7,11,9,7,14,8,8,7,14,7,7,7,12,9,9,19,9

Policy Iteration,389,112,32,7,7,12,9,13,9,7,7,7,7,9,7,12,9,10,15,7,7,7,10,8,8,8,7,9,10,8,9,7,10,7,9,7,9,9,11,7,13,7,9,9,14,7,7,7,7,9,7,11,12,8,9,9,11,8,9,9,7,7,8,12,7,8,11,7,10,8,9,16,11,8,9,9,10,7,12,7,9,7,10,10,7,9,9,8,9,10,14,9,7,7,7,8,11,12,7,7

The data below shows the number of steps/actions the agent required to reach 
the terminal state given the number of iterations the algorithm was run.
Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration,652,285,79,7,9,11,9,7,10,12,8,11,8,8,7,7,9,7,8,7,8,9,10,8,11,11,7,8,7,9,8,7,7,22,11,8,10,9,8,16,9,10,10,7,7,7,15,11,8,7,8,10,9,8,8,13,9,8,10,7,8,11,10,7,9,8,10,8,12,7,8,9,12,8,7,15,9,7,13,15,10,9,7,7,11,9,7,14,8,8,7,14,7,7,7,12,9,9,19,9
Policy Iteration,389,112,32,7,7,12,9,13,9,7,7,7,7,9,7,12,9,10,15,7,7,7,10,8,8,8,7,9,10,8,9,7,10,7,9,7,9,9,11,7,13,7,9,9,14,7,7,7,7,9,7,11,12,8,9,9,11,8,9,9,7,7,8,12,7,8,11,7,10,8,9,16,11,8,9,9,10,7,12,7,9,7,10,10,7,9,9,8,9,10,14,9,7,7,7,8,11,12,7,7
Q Learning,47,45,268,22,23,21,25,18,7,7,10,9,8,9,9,28,10,9,61,13,9,32,8,23,25,10,7,73,10,9,8,108,8,23,12,24,9,38,11,23,10,9,7,9,10,15,11,8,7,7,9,8,32,23,9,8,23,7,9,7,10,8,7,7,33,12,8,7,14,7,13,20,10,8,13,13,12,15,12,26,38,16,27,44,41,10,15,12,11,8,7,11,21,30,12,31,21,13,11,57

